source,target,edge_source,year_source,period
10.1109/fie.2012.6462365,10.1145/2325296.2325347,openalex,2012,p1_2006_2012
10.1109/fie.2012.6462365,10.1145/1118178.1118215,openalex,2012,p1_2006_2012
10.1109/clei.2012.6427135,10.1145/1929887.1929902,openalex,2012,p1_2006_2012
10.1109/clei.2012.6427135,10.1145/1539024.1508932,openalex,2012,p1_2006_2012
10.1109/clei.2012.6427135,10.1145/1118178.1118215,openalex,2012,p1_2006_2012
10.1109/clei.2012.6427135,10.1007/978-3-642-21530-8_13,openalex,2012,p1_2006_2012
10.1109/clei.2012.6427135,10.1145/1953163.1953241,openalex,2012,p1_2006_2012
10.1109/clei.2012.6427135,10.1145/1508865.1508932,openalex,2012,p1_2006_2012
10.1109/pci.2012.18,10.1145/1118178.1118215,openalex,2012,p1_2006_2012
10.1109/pci.2012.18,10.1098/rsta.2008.0118,openalex,2012,p1_2006_2012
10.1109/pci.2012.18,10.1145/1508865.1508959,openalex,2012,p1_2006_2012
10.1145/2380552.2380606,10.1145/1118178.1118215,openalex,2012,p1_2006_2012
10.1145/2160718.2160729,10.1145/2157136.2157191,openalex,2012,p1_2006_2012
10.1145/2157136.2157191,10.1109/vlhcc.2011.6070398,openalex,2012,p1_2006_2012
10.1145/2157136.2157191,10.1145/1953163.1953241,openalex,2012,p1_2006_2012
10.1145/2157136.2157191,10.1145/1536274.1536281,openalex,2012,p1_2006_2012
10.1145/2212776.2223794,10.4018/ijgbl.2011040105,openalex,2012,p1_2006_2012
10.1145/2212776.2223794,10.1145/1118178.1118215,openalex,2012,p1_2006_2012
10.1016/j.procs.2012.04.056,10.1145/1118178.1118215,openalex,2012,p1_2006_2012
10.1016/j.procs.2012.04.056,10.1098/rsta.2008.0118,openalex,2012,p1_2006_2012
10.1016/j.procs.2012.04.056,10.1145/1929887.1929902,openalex,2012,p1_2006_2012
10.1016/j.procs.2012.04.056,10.4018/ijgbl.2011040105,openalex,2012,p1_2006_2012
10.1016/j.procs.2012.04.056,10.1145/1822090.1822154,openalex,2012,p1_2006_2012
10.14742/ajet.805,10.1145/1118178.1118215,openalex,2012,p1_2006_2012
10.14742/ajet.805,10.14742/ajet.805,openalex,2012,p1_2006_2012
10.1109/vlhcc.2011.6070398,10.1145/1118178.1118215,openalex,2011,p1_2006_2012
10.1109/fie.2011.6142980,10.1145/1118178.1118215,openalex,2011,p1_2006_2012
10.1109/fie.2011.6142980,10.1145/1539024.1508959,openalex,2011,p1_2006_2012
10.1109/fie.2011.6142980,10.1145/1929887.1929902,openalex,2011,p1_2006_2012
10.1109/fie.2011.6142980,10.1145/1508865.1508959,openalex,2011,p1_2006_2012
10.1007/978-3-642-23456-9_39,10.1145/1118178.1118215,openalex,2011,p1_2006_2012
10.1007/978-3-642-23456-9_39,10.1098/rsta.2008.0118,openalex,2011,p1_2006_2012
10.1145/2016039.2016059,10.1145/1118178.1118215,openalex,2011,p1_2006_2012
10.1007/978-3-642-21530-8_13,10.1145/1822090.1822154,openalex,2011,p1_2006_2012
10.1145/1953163.1953241,10.1145/1822090.1822154,openalex,2011,p1_2006_2012
10.1145/1953163.1953241,10.1145/1734263.1734384,openalex,2011,p1_2006_2012
10.4018/ijgbl.2011040105,10.1145/1118178.1118215,openalex,2011,p1_2006_2012
10.1145/1929887.1929902,10.1145/1508865.1508959,openalex,2011,p1_2006_2012
10.1145/1929887.1929902,10.1145/1118178.1118215,openalex,2011,p1_2006_2012
10.1016/j.sbspro.2010.12.256,10.1145/1118178.1118215,openalex,2010,p1_2006_2012
10.1109/fie.2010.5673139,10.1145/1508865.1509053,openalex,2010,p1_2006_2012
10.1109/fie.2010.5673139,10.1145/1508865.1508959,openalex,2010,p1_2006_2012
10.1109/fie.2010.5673139,10.1145/1118178.1118215,openalex,2010,p1_2006_2012
10.1109/fie.2010.5673139,10.1145/1539024.1508959,openalex,2010,p1_2006_2012
10.1145/1822090.1822154,10.1145/1536274.1536281,openalex,2010,p1_2006_2012
10.1145/1822090.1822154,10.1145/1118178.1118215,openalex,2010,p1_2006_2012
10.1145/1508865.1508932,10.1145/1118178.1118215,openalex,2009,p1_2006_2012
10.1145/1536274.1536281,10.1145/1118178.1118215,openalex,2009,p1_2006_2012
10.1145/1508865.1508959,10.1145/1118178.1118215,openalex,2009,p1_2006_2012
10.1109/fie.2009.5350463,10.1145/1118178.1118215,openalex,2009,p1_2006_2012
10.1145/1562877.1562941,10.1145/1118178.1118215,openalex,2009,p1_2006_2012
10.1109/vlhcc.2009.5295278,10.1098/rsta.2008.0118,openalex,2009,p1_2006_2012
10.1109/vlhcc.2009.5295278,10.1145/1118178.1118215,openalex,2009,p1_2006_2012
10.1109/vlhcc.2009.5295278,10.1145/1461928.1461938,openalex,2009,p1_2006_2012
10.1109/icetc.2009.16,10.1145/1118178.1118215,openalex,2009,p1_2006_2012
10.1145/1539024.1508932,10.1145/1118178.1118215,openalex,2009,p1_2006_2012
10.1145/1539024.1508959,10.1145/1118178.1118215,openalex,2009,p1_2006_2012
10.1145/1539024.1509053,10.1145/1118178.1118215,openalex,2009,p1_2006_2012
10.1145/1461928.1461938,10.1145/1118178.1118215,openalex,2009,p1_2006_2012
10.1145/1508865.1509053,10.1145/1118178.1118215,openalex,2009,p1_2006_2012
10.1145/1463689.1463767,10.1145/1118178.1118215,openalex,2008,p1_2006_2012
10.1109/fie.2008.4720362,10.1145/1118178.1118215,openalex,2008,p1_2006_2012
10.1098/rsta.2008.0118,10.1145/1118178.1118215,openalex,2008,p1_2006_2012
10.1145/1118178.1118215,10.1098/rsta.2008.0118,openalex,2006,p1_2006_2012
10.1145/1118178.1118215,10.1145/1118178.1118215,openalex,2006,p1_2006_2012
10.1016/j.sbspro.2012.06.938,10.1145/1118178.1118215,openalex,2012,p1_2006_2012
10.1016/j.sbspro.2012.06.938,10.1098/rsta.2008.0118,openalex,2012,p1_2006_2012
