doi,title,year,journal,ct_label_v2,ct_membership_score_v2,ct_score,ct_negative,citations_rank,openalex_cited_by_count,dimensions_times_cited,altmetric_score,mendeley_reader_count,openalex_top_concepts,label
10.1145/1118178.1118215,Computational thinking,2006,Communications of the ACM,broad,0.6083333333333334,1,False,6550.0,6550.0,6009.0,194.2,3569.0,Computer science,Computational thinking
10.3102/0013189x12463051,Computational Thinking in K-12: A Review of the State of the Field,2013,Educational Researcher,broad,0.5416666666666667,3,False,2205.0,2205.0,,69.2,2310.0,Computational thinking; State (computer science); Sociology; Mathematics education; Wing,Computational Thinking in K-12: A Review of the State of the Field
10.1098/rsta.2008.0118,Computational thinking and thinking about computing,2008,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",broad,0.6333333333333333,3,False,1664.0,1664.0,1364.0,45.35,2251.0,Field (mathematics); Computational thinking; Computer science; Management science; Engineering ethics,Computational thinking and thinking about computing
10.1007/s10956-015-9581-5,Defining Computational Thinking for Mathematics and Science Classrooms,2016,Journal of Science Education and Technology,broad,0.6333333333333333,3,False,1440.0,1440.0,1240.0,33.349999999999994,2036.0,Science education; Mathematics education; Computational thinking; Educational technology; Computer science,Defining Computational Thinking for Mathematics and Science Classrooms
10.1016/j.chb.2014.09.012,Review on teaching and learning of computational thinking through programming: What is next for K-12?,2014,Computers in Human Behavior,core,1.0,3,False,1240.0,1240.0,1064.0,35.0,1569.0,Computational thinking; Computer science; Think aloud protocol; Abstraction; Computational model,Review on teaching and learning of computational thinking through programming: What is next for K-12?
10.1016/j.edurev.2017.09.003,Demystifying computational thinking,2017,Educational Research Review,core,1.0,3,False,1236.0,1236.0,1128.0,115.5,1806.0,Variety (cybernetics); Computer science; Computational thinking; Abstraction; Debugging,Demystifying computational thinking
10.1016/j.compedu.2013.10.020,Computational thinking and tinkering: Exploration of an early childhood robotics curriculum,2014,Computers and Education,broad,0.5416666666666667,3,False,902.0,902.0,788.0,23.05,1266.0,Robotics; Computational thinking; Curriculum; Artificial intelligence; Constructionism,Computational thinking and tinkering: Exploration of an early childhood robotics curriculum
10.1016/j.chb.2016.08.047,Which cognitive abilities underlie computational thinking? Criterion validity of the Computational Thinking Test,2017,Computers in Human Behavior,broad,0.6333333333333333,3,False,760.0,760.0,658.0,33.8,1287.0,Conceptualization; Psychology; Computational thinking; Cognitive psychology; Test (biology),Which cognitive abilities underlie computational thinking? Criterion validity of the Computational Thinking Test
10.1145/1929887.1929902,Computational thinking for youth in practice,2011,ACM Inroads,broad,0.6333333333333333,3,False,757.0,757.0,601.0,6.0,877.0,Computational thinking; Abstraction; Computer science; Set (abstract data type); Mathematics education,Computational thinking for youth in practice
10.1007/s10639-015-9412-6,Computational thinking in compulsory education: Towards an agenda for research and practice,2015,Education and Information Technologies,broad,0.5416666666666667,3,False,586.0,586.0,468.0,26.45,975.0,Computational thinking; Computer science; Critical systems thinking; Competence (human resources); Logo (programming language),Computational thinking in compulsory education: Towards an agenda for research and practice
10.1016/j.chb.2017.01.005,A validity and reliability study of the computational thinking scales (CTS),2017,Computers in Human Behavior,core,1.0,3,False,584.0,584.0,527.0,7.05,867.0,Computational thinking; Psychology; Scale (ratio); Likert scale; Reliability (semiconductor),A validity and reliability study of the computational thinking scales (CTS)
10.1016/j.robot.2015.10.008,Advancing students' computational thinking skills through educational robotics: A study on age and gender relevant differences,2016,Robotics and Autonomous Systems,core,1.0,3,False,582.0,582.0,527.0,6.0,928.0,Modality (human–computer interaction); Context (archaeology); Vocational education; Computational thinking; Robotics,Advancing students' computational thinking skills through educational robotics: A study on age and gender relevant differences
10.1016/j.compedu.2019.103798,Assessing computational thinking: A systematic review of empirical studies,2020,Computers and Education,core,1.0,3,False,555.0,555.0,556.0,3.0,1242.0,Curriculum; Context (archaeology); Reliability (semiconductor); Construct (python library); Construct validity,Assessing computational thinking: A systematic review of empirical studies
10.1016/j.compedu.2016.03.003,"Visual programming languages integrated across the curriculum in elementary school: A two year case study using ""scratch"" in five schools",2016,Computers and Education,broad,0.6333333333333333,3,False,499.0,499.0,411.0,48.75,1122.0,Computational thinking; Scratch; Curriculum; Computer science; Visual programming language,"Visual programming languages integrated across the curriculum in elementary school: A two year case study using ""scratch"" in five schools"
10.1016/j.caeai.2023.100147,"The effect of generative artificial intelligence (AI)-based tool use on students' computational thinking skills, programming self-efficacy and motivation",2023,Computers and Education: Artificial Intelligence,core,1.0,3,False,498.0,498.0,548.0,150.35,1442.0,Computational thinking; Mathematics education; Computer science; Computer programming; Control (management),"The effect of generative artificial intelligence (AI)-based tool use on students' computational thinking skills, programming self-efficacy a"
10.1007/s11528-016-0087-7,Computational Thinking for All: Pedagogical Approaches to Embedding 21st Century Problem Solving in K-12 Classrooms,2016,TechTrends,core,0.8166666666666667,3,False,459.0,459.0,411.0,19.2,978.0,Computational thinking; Key (lock); Computer science; Curriculum; Mathematics education,Computational Thinking for All: Pedagogical Approaches to Embedding 21st Century Problem Solving in K-12 Classrooms
10.1016/j.chb.2015.05.047,A new way of teaching programming skills to K-12 students: Code.org,2015,COMPUTERS IN HUMAN BEHAVIOR,core,0.8500000000000001,2,False,412.0,412.0,341.0,14.85,632.0,Mathematics education; Reflective thinking; Test (biology); Psychology; Triangulation,A new way of teaching programming skills to K-12 students: Code.org
10.1016/j.compedu.2019.103607,A systematic review of learning computational thinking through Scratch in K-9,2019,Computers and Education,core,1.0,3,False,411.0,411.0,393.0,8.6,818.0,Scratch; Computational thinking; Reading (process); Computer science; Empirical research,A systematic review of learning computational thinking through Scratch in K-9
10.1016/j.compedu.2017.03.001,Assessing elementary students’ computational thinking in everyday reasoning and robotics programming,2017,Computers and Education,broad,0.6333333333333333,3,False,401.0,401.0,346.0,,809.0,Computational thinking; Robotics; Artificial intelligence; Curriculum; Coding (social sciences),Assessing elementary students’ computational thinking in everyday reasoning and robotics programming
10.1080/08993408.2015.1033142,Designing for deeper learning in a blended computer science course for middle school students,2015,Computer Science Education,core,1.0,3,False,391.0,391.0,311.0,8.0,629.0,Course (navigation); Computer science; Mathematics education; Blended learning; Instructional design,Designing for deeper learning in a blended computer science course for middle school students
10.1016/j.chb.2019.03.018,Developing young children's computational thinking with educational robotics: An interaction effect between gender and scaffolding strategy,2020,Computers in Human Behavior,core,1.0,3,False,352.0,352.0,359.0,0.5,708.0,Computational thinking; Kinesthetic learning; Curriculum; Scaffold; Mathematics education,Developing young children's computational thinking with educational robotics: An interaction effect between gender and scaffolding strategy
10.1007/s10639-016-9482-0,Computing in the curriculum: Challenges and strategies from a teacher’s perspective,2017,Education and Information Technologies,core,0.8166666666666667,3,False,339.0,339.0,260.0,34.50000000000001,628.0,Curriculum; Computational thinking; Variety (cybernetics); Mathematics education; Inclusion (mineral),Computing in the curriculum: Challenges and strategies from a teacher’s perspective
10.1007/978-3-030-38781-5,Preparing for life in a digital world: IEA international computer and information literacy study 2018 international report,2020,,core,0.8166666666666667,3,False,324.0,324.0,434.0,22.7,850.0,Computer science; History,Preparing for life in a digital world: IEA international computer and information literacy study 2018 international report
10.3102/0034654317710096,Changing a Generation’s Way of Thinking: Teaching Computational Thinking Through Programming,2017,Review of Educational Research,core,1.0,3,False,322.0,322.0,282.0,23.0,601.0,Computational thinking; Curriculum; Mathematics education; Computer science; Field (mathematics),Changing a Generation’s Way of Thinking: Teaching Computational Thinking Through Programming
