patent_id,title,year,publication_date,jurisdiction,legal_status,assignee,current_assignee,inventors,n_assignees,n_inventors,source_query,document_category,abstract_clean
WO-2025238694-A1,TEST EVALUATION DEVICE AND TEST EVALUATION METHOD,2024,2025-11-20,WO,Pending,NTT Inc; NTT Inc USA; Nippon Telegraph and Telephone Corp,NTT Inc; NTT Inc USA,KASAMATSU MIHO; KOYA HIDETAKA; OISHI HARUO,3,3,Computational Thinking,patent,"A test evaluation device (100) according to an embodiment comprises: a question creation unit (11) that creates questions from which an element to be evaluated by a test is excluded; an evaluation unit (12) that creates a distribution of incorrect answers by comparing an answer result obtained by setting the questions to one or more answerers with the correct answers of the test; and a reliability evaluation unit (13) that acquires a distribution of incorrect answers to the test by an arbitrary answerer, compares the distribution of the incorrect answers to the questions with the distribution of the incorrect answers to the test by the arbitrary answerer, and evaluates the reliability of the result of the answers to the test by the arbitrary answerer."
WO-2025224500-A1,GAMIFIED BUSINESS LEARNING & AI TALENT DISCOVERY PLATFORM FOR KIDS,2024,2025-10-30,WO,Pending,Individual,Individual,HAMZEHPOUR ZAHRA; GHASEMI DAREHNAEE ZEYNAB; SAMIE SOROUSH; MOAZED MAHYAR,1,4,Computational Thinking,patent,"An interactive platform for children aged 6 to 12 that combines gamification and AI to simulate real-life scenarios through educational games. It introduces various professional concepts such as engineering, education, firefighting, policing, finance, and business tailored to each country's specific needs. By employing AI-based behavioral analyses, the platform personalizes each child's learning path, aiding in the identification and development of their individual talents. This approach enables children to acquire essential skills for navigating diverse professional fields and social interactions. Additionally, ItSeemsCool engages parents and educators by providing detailed behavioral insights and talent discovery reports, empowering them to effectively guide children's educational journeys. Motivational features like badges, leaderboards, and AR/VR tools maintain children's engagement, making learning both enjoyable and impactful. Overall, ItSeemsCool offers a comprehensive solution to modern educational challenges by combining professional concept education, gamification, and AI to enhance children's practical and social skills, preparing them for a successful future."
WO-2025120816-A1,"THOUGHT TENDENCY EVALUATION DEVICE, METHOD, AND PROGRAM",2023,2025-06-12,WO,Pending,NTT Inc; Nippon Telegraph and Telephone Corp,NTT Inc,KASAMATSU MIHO; KOYA HIDETAKA; OISHI HARUO; NAKAJIMA HAJIME,2,4,Computational Thinking,patent,"In one aspect of the present invention, when a user's thought tendency with respect to a state change process is evaluated, a procedure for creating the state change process is divided into a plurality of stages in accordance with the flow of creation, and for each of the stages, small question data for evaluating the degree of understanding thereof is created. Then, user's answer data to each small question data is acquired, the degrees of the user's understanding for the respective stages are evaluated on the basis of the acquired answer data, and the evaluation results of the degrees of understanding are synthesized to evaluate the user's thought tendency with respect to the procedure for creating the state change process."
WO-2025038035-A1,SYSTEMS AND METHODS FOR ROTARY PUZZLE DEVICES,2024,2025-02-20,WO,Pending,National University of Singapore,National University of Singapore,BULATHSINHALAGE SANKHA COORAY; NANAYAKKARA SURANGA CHANDIMA,1,2,Computational Thinking,patent,"Described here is a computer system for producing a rotary puzzle device, 5 the system comprising a memory and at least one processor, the memory storing instructions that, when executed by the at least one processor, cause the at least one processor to: receive a puzzle image and a stencil image as input, the stencil image comprising a plurality of regions, divide a portion of the puzzle image into at least three output images with transparent 10 backgrounds using pixel-level analysis, wherein the at least three output images, when stacked together, reproduce the portion of the puzzle image, swap pixels between the output images, and produce a layer for each output image resulting from the previous step, wherein assembling the layers together reproduces the rotary puzzle device. 15"
WO-2024246635-A1,"INNOVATIVE EDUCATIONAL SYSTEM FOR COLLABORATIVE DESIGN, CODING AND ASSEMBLY OF INTERACTIVE PLAY STRUCTURES",2024,2024-12-05,WO,Pending,Individual,Individual,SAFAVI ARASH,1,1,Computational Thinking,patent,"A software program and hardware that act as a creative platform, especially for students and children, to design and construct toys. This system supports incremental building of components into complex structures and integrates with 3D printing technology, allowing users to physically create their designs. It also includes features for adding sensors and motors, enabling interactive and controllable toys through coding.The platform encourages creativity and collaboration by providing tools for organizing and sharing toy designs. It facilitates online coding competitions, where participants can contribute different elements to a collective project, such as designing a city. Users can access a library of pre-made objects, place them on the program's screen, and save their work on a hard drive or cloud service. The system ensures data encryption and regular saving to prevent loss."
WO-2024184945-A1,"PROGRAMMATIC THINKING EVALUATION DEVICE, METHOD, AND PROGRAM",2023,2024-09-12,WO,Ceased,NTT Inc; Nippon Telegraph and Telephone Corp,NTT Inc,KASAMATSU MIHO; KOYA HIDETAKA; NAKAJIMA HAJIME; OISHI HARUO,2,4,Computational Thinking,patent,"One aspect of this invention displays, as a pair, information representing a first state and information representing a second state that has changed from the first state, and displays multiple options representing commands or values used in at least one process necessary to change from the first state to the second state. The invention acquires, for each process, answers created by a respondent who has sequentially selected and input multiple options for the commands or values, evaluates the acquired answers by comparison with correct information stored in advance, and outputs information representing the evaluation result."
WO-2021020781-A1,CODING EDUCATION METHOD AND CODING EDUCATION ROBOT,2020,2021-02-04,WO,Ceased,Industry Cooperation Foundation of University of Seoul,Industry Cooperation Foundation of University of Seoul,LEE JAEHO; CHOI BYUNGGI; LEE JONGUK,1,3,Computational Thinking,patent,"Disclosed is a coding education method comprising the steps of: converting, to a code model through code modeling, a program code created by a coding learner; searching for, as a subject of debugging, at least one from among code execution units, procedures and conditions of the code model, and extracting same; coupling, to the extracted subject of debugging, a basic model having defined a debugging rule, so as to generate a debugging model; inserting the debugging model into the program code by referring to the code model; and expressing, by a coding education robot, information to the coding learner through at least speech according to an interaction method, which is inserted into the debugging model."
WO-2021006467-A1,SYSTEM AND METHOD FOR PROVIDING CODING EDUCATION BY USING PEER TERMINALS CONNECTED TO CLOUD PLATFORM,2020,2021-01-14,WO,Ceased,Genirobot Co Ltd,Genirobot Co Ltd,LEE EUNSEUNG; KIM HYUNSOO,1,2,Computational Thinking,patent,"The present invention can provide highly efficient coding education by generating coding data by collecting instructions from not only a peer terminal connected to a coding robot in a near field communication manner, but also peer terminals connected to a cloud platform, and using the coding data to control the coding robot."
WO-2020248811-A1,ONLINE GRAPHICAL PROGRAMMING SYSTEM BASED ON BLOCKLY AND RASPBERRY PI AND METHOD FOR USING SAME,2020,2020-12-17,WO,Ceased,Hangzhou Gudewei Robot Co Ltd,Hangzhou Gudewei Robot Co Ltd,HUA JIANGFENG,1,1,Computational Thinking,patent,"Provided are an online graphical programming system based on Blockly and Raspberry Pi and a method for using same. The system comprises: a Raspberry Pi development board, an external electronic device, a display device, a power supply module, a cloud server, a Blockly-based online graphical programming platform and a client program installed on Raspberry Pi. According to the present system, traditionally defined programming can be simplified into a graphic block splicing process, and an additional PC is not needed, only one Raspberry Pi development board, a necessary input/output device and an external electronic device unit are needed, and the programming threshold and cost are greatly reduced."
WO-2020121189-A1,MODULAR ROBOTIC SYSTEM AND METHODS FOR CONFIGURING ROBOTIC MODULE,2019,2020-06-18,WO,Ceased,Building Blocks Learning Solutions Pvt Ltd,Building Blocks Learning Solutions Pvt Ltd,GABA RAJEEV; BHALLA tarun; IYER ISHAAN; JAKHAR MANOJ,1,4,Computational Thinking,patent,"Disclosed herein is a modular robotic system, and methods for configuring the robotic module. The robotic system includes a first housing comprising a first processor and a first connector, a second housing comprising a second processor and a second connector, the first connector of the first housing being connectable to the second connector of the second housing in a plurality of orientations relative to one another, where the first processor and the second processor are configured to communicate with one other when connected in any of the plurality of orientations"
