policy_id,title,year,publisher_name,publisher_type_primary,publisher_types,publisher_id,country_code,country_name,state_name,city_name,latitude,longitude,dimensions_url,publisher_linkout,source_query,document_category
policy.971621,Enabling Sustainability in an Interconnected World,2014,Council of Canadian Academies,Nonprofit,Nonprofit,grid.498052.2,CA,Canada,Ontario,Ottawa,45.41971,-75.69217,https://app.dimensions.ai/details/policy_documents/policy.971621,http://www.scienceadvice.ca/en.aspx,Computational Thinking,policy_document
policy.957349,TALIS 2018 Results teachers and school leaders as lifelong learners volume I (Engelstalig),2019,Government of Netherlands,Government,Government,grid.454763.7,NL,Netherlands,,The Hague,52.083332,4.316667,https://app.dimensions.ai/details/policy_documents/policy.957349,https://www.government.nl,Computational Thinking,policy_document
policy.872372,Exploring new sources of large-scale job creation: The potential role of Industries Without Smokestacks,2020,Brookings Institution,Nonprofit,Nonprofit,grid.282940.5,US,United States,District of Columbia,Washington D.C.,38.90904,-77.04011,https://app.dimensions.ai/details/policy_documents/policy.872372,http://www.brookings.edu/,Computational Thinking,policy_document
policy.870557,How Wealthy is Russia? : Measuring Russia's Comprehensive Wealth from 2000-2017,2019,World Bank,Government,Government,grid.431778.e,US,United States,District of Columbia,Washington D.C.,38.8993,-77.0425,https://app.dimensions.ai/details/policy_documents/policy.870557,http://www.worldbank.org/,Computational Thinking,policy_document
policy.861,Report of a Workshop on the Scope and Nature of Computational Thinking,2010,National Academies Press,Other,Other,grid.431670.7,US,United States,District of Columbia,Washington D.C.,38.89683,-77.019295,https://app.dimensions.ai/details/policy_documents/policy.861,https://www.nap.edu/,Computational Thinking,policy_document
policy.860254,Independent state school partnerships (ISSP): evaluation,2017,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.860254,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.851262,A Global Standard for Lifelong Learning and Worker Engagement to Support Advanced Manufacturing,2019,World Economic Forum,Nonprofit,Nonprofit,grid.475663.5,CH,Switzerland,,Geneva,46.225685,6.191236,https://app.dimensions.ai/details/policy_documents/policy.851262,https://www.weforum.org/,Computational Thinking,policy_document
policy.847535,Government Response to the Internet Safety Strategy Green Paper,2018,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.847535,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.842151,Learning to leapfrog,2019,Brookings Institution,Nonprofit,Nonprofit,grid.282940.5,US,United States,District of Columbia,Washington D.C.,38.90904,-77.04011,https://app.dimensions.ai/details/policy_documents/policy.842151,http://www.brookings.edu/,Computational Thinking,policy_document
policy.831514,Improving Higher Education Performance in Kenya : A Policy Report,2019,World Bank,Government,Government,grid.431778.e,US,United States,District of Columbia,Washington D.C.,38.8993,-77.0425,https://app.dimensions.ai/details/policy_documents/policy.831514,http://www.worldbank.org/,Computational Thinking,policy_document
policy.830715,Future Preparedness: A Conceptual Framework for Measuring Country Performance,2017,World Economic Forum,Nonprofit,Nonprofit,grid.475663.5,CH,Switzerland,,Geneva,46.225685,6.191236,https://app.dimensions.ai/details/policy_documents/policy.830715,https://www.weforum.org/,Computational Thinking,policy_document
policy.821411,STEM strategy for education and training: first annual report,2019,Scottish Government,Government,Government,grid.421126.2,GB,United Kingdom,Scotland,Edinburgh,55.95356,-3.184061,https://app.dimensions.ai/details/policy_documents/policy.821411,http://www.gov.scot/#slide/1,Computational Thinking,policy_document
policy.815118,How playful learning can help leapfrog progress in education,2019,Brookings Institution,Nonprofit,Nonprofit,grid.282940.5,US,United States,District of Columbia,Washington D.C.,38.90904,-77.04011,https://app.dimensions.ai/details/policy_documents/policy.815118,http://www.brookings.edu/,Computational Thinking,policy_document
policy.811207,"Report of the 19th American Regional Meeting (Panama City, 2–5 October 2018)",2019,International Labour Organization,Government,Government,grid.462396.c,CH,Switzerland,,Geneva,46.229393,6.134266,https://app.dimensions.ai/details/policy_documents/policy.811207,http://www.ilo.org/global/lang--en/index.htm,Computational Thinking,policy_document
policy.776566,Initial National Cyber Security Skills Strategy: increasing the UK’s cyber security capability - a call for views,2018,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.776566,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.751274,Wave 10: Livingstone Academy East London,2018,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.751274,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.751273,Wave 10: Livingstone Academy Bournemouth,2018,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.751273,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.748,Report of a Workshop on the Pedagogical Aspects of Computational Thinking,2011,National Academies Press,Other,Other,grid.431670.7,US,United States,District of Columbia,Washington D.C.,38.89683,-77.019295,https://app.dimensions.ai/details/policy_documents/policy.748,https://www.nap.edu/,Computational Thinking,policy_document
policy.745908,Final report of the meeting,2018,International Labour Organization,Government,Government,grid.462396.c,CH,Switzerland,,Geneva,46.229393,6.134266,https://app.dimensions.ai/details/policy_documents/policy.745908,http://www.ilo.org/global/lang--en/index.htm,Computational Thinking,policy_document
policy.723042,AI as the next GPT: a Political-Economy Perspective,2018,National Bureau of Economic Research,Nonprofit,Nonprofit,grid.250279.b,US,United States,Massachusetts,Cambridge,42.37206,-71.11575,https://app.dimensions.ai/details/policy_documents/policy.723042,http://www.nber.org/,Computational Thinking,policy_document
policy.713341,National curriculum: secondary curriculum,2014,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.713341,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.713280,National curriculum in England: complete framework for key stages 1 to 4 - for teaching from September 2016,2014,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.713280,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
policy.704842,National curriculum: primary curriculum,2015,UK Government,Government,Government,grid.421947.d,GB,United Kingdom,,London,51.503372,-0.127646,https://app.dimensions.ai/details/policy_documents/policy.704842,https://www.gov.uk/; https://www.gov.uk/government/organisations/department-for-international-development,Computational Thinking,policy_document
