year,skill_name,skill_group,n_papers_with_skill,n_mentions,mean_skill_weight,n_papers_year,freq_norm_by_papers,mentions_norm_by_papers,n_papers_total
1975,problem solving skills,transversal_skills,1,1,,1,1.0,1.0,2304
1982,problem solving skills,transversal_skills,1,1,,1,1.0,1.0,2304
1983,problem solving skills,transversal_skills,1,1,,4,0.25,0.25,2304
1986,problem solving skills,transversal_skills,1,1,,3,0.3333333333333333,0.3333333333333333,2304
1988,problem solving skills,transversal_skills,1,1,,7,0.14285714285714285,0.14285714285714285,2304
1989,problem solving skills,transversal_skills,1,1,,7,0.14285714285714285,0.14285714285714285,2304
1992,problem solving skills,transversal_skills,1,1,,7,0.14285714285714285,0.14285714285714285,2304
1993,problem solving skills,transversal_skills,3,3,,20,0.15,0.15,2304
1994,problem solving skills,transversal_skills,3,3,,21,0.14285714285714285,0.14285714285714285,2304
1995,problem solving skills,transversal_skills,2,2,,13,0.15384615384615385,0.15384615384615385,2304
1996,problem solving skills,transversal_skills,1,1,,26,0.038461538461538464,0.038461538461538464,2304
1997,problem solving skills,transversal_skills,4,4,,36,0.1111111111111111,0.1111111111111111,2304
1998,problem solving skills,transversal_skills,1,1,,14,0.07142857142857142,0.07142857142857142,2304
1999,problem solving skills,transversal_skills,1,1,,18,0.05555555555555555,0.05555555555555555,2304
2001,problem solving skills,transversal_skills,4,4,,29,0.13793103448275862,0.13793103448275862,2304
2002,problem solving skills,transversal_skills,3,3,,27,0.1111111111111111,0.1111111111111111,2304
2003,problem solving skills,transversal_skills,3,3,,40,0.075,0.075,2304
2004,problem solving skills,transversal_skills,12,12,,44,0.2727272727272727,0.2727272727272727,2304
2005,problem solving skills,transversal_skills,6,6,,44,0.13636363636363635,0.13636363636363635,2304
2006,problem solving skills,transversal_skills,12,12,,55,0.21818181818181817,0.21818181818181817,2304
2007,problem solving skills,transversal_skills,15,15,,83,0.18072289156626506,0.18072289156626506,2304
2008,problem solving skills,transversal_skills,10,10,,79,0.12658227848101267,0.12658227848101267,2304
2009,problem solving skills,transversal_skills,21,21,,129,0.16279069767441862,0.16279069767441862,2304
2010,problem solving skills,transversal_skills,12,12,,115,0.10434782608695652,0.10434782608695652,2304
2011,problem solving skills,transversal_skills,10,10,,159,0.06289308176100629,0.06289308176100629,2304
2012,problem solving skills,transversal_skills,19,19,,157,0.12101910828025478,0.12101910828025478,2304
2013,problem solving skills,transversal_skills,27,27,,198,0.13636363636363635,0.13636363636363635,2304
2014,problem solving skills,transversal_skills,29,29,,224,0.12946428571428573,0.12946428571428573,2304
2015,problem solving skills,transversal_skills,56,56,,285,0.19649122807017544,0.19649122807017544,2304
2016,problem solving skills,transversal_skills,57,57,,302,0.18874172185430463,0.18874172185430463,2304
2017,problem solving skills,transversal_skills,100,100,,467,0.21413276231263384,0.21413276231263384,2304
2018,problem solving skills,transversal_skills,109,109,,562,0.19395017793594305,0.19395017793594305,2304
2019,problem solving skills,transversal_skills,174,174,,723,0.24066390041493776,0.24066390041493776,2304
2020,problem solving skills,transversal_skills,168,168,,852,0.19718309859154928,0.19718309859154928,2304
2021,problem solving skills,transversal_skills,191,191,,982,0.1945010183299389,0.1945010183299389,2304
2022,problem solving skills,transversal_skills,243,243,,1070,0.22710280373831776,0.22710280373831776,2304
2023,problem solving skills,transversal_skills,284,284,,1188,0.23905723905723905,0.23905723905723905,2304
2024,problem solving skills,transversal_skills,339,339,,1377,0.24618736383442266,0.24618736383442266,2304
2025,problem solving skills,transversal_skills,364,364,,1365,0.26666666666666666,0.26666666666666666,2304
2026,problem solving skills,transversal_skills,14,14,,64,0.21875,0.21875,2304
1970,collaborative learning,transversal_skills,1,1,,1,1.0,1.0,2291
1975,collaborative learning,transversal_skills,1,1,,1,1.0,1.0,2291
1980,collaborative learning,transversal_skills,1,1,,1,1.0,1.0,2291
1983,collaborative learning,transversal_skills,1,1,,4,0.25,0.25,2291
1987,collaborative learning,transversal_skills,2,2,,3,0.6666666666666666,0.6666666666666666,2291
1988,collaborative learning,transversal_skills,2,2,,7,0.2857142857142857,0.2857142857142857,2291
1989,collaborative learning,transversal_skills,1,1,,7,0.14285714285714285,0.14285714285714285,2291
1990,collaborative learning,transversal_skills,2,2,,5,0.4,0.4,2291
1991,collaborative learning,transversal_skills,1,1,,5,0.2,0.2,2291
1994,collaborative learning,transversal_skills,5,5,,21,0.23809523809523808,0.23809523809523808,2291
1995,collaborative learning,transversal_skills,2,2,,13,0.15384615384615385,0.15384615384615385,2291
1996,collaborative learning,transversal_skills,5,5,,26,0.19230769230769232,0.19230769230769232,2291
1997,collaborative learning,transversal_skills,3,3,,36,0.08333333333333333,0.08333333333333333,2291
1998,collaborative learning,transversal_skills,3,3,,14,0.21428571428571427,0.21428571428571427,2291
1999,collaborative learning,transversal_skills,2,2,,18,0.1111111111111111,0.1111111111111111,2291
2000,collaborative learning,transversal_skills,1,1,,10,0.1,0.1,2291
2001,collaborative learning,transversal_skills,3,3,,29,0.10344827586206896,0.10344827586206896,2291
2002,collaborative learning,transversal_skills,4,4,,27,0.14814814814814814,0.14814814814814814,2291
2003,collaborative learning,transversal_skills,3,3,,40,0.075,0.075,2291
2004,collaborative learning,transversal_skills,5,5,,44,0.11363636363636363,0.11363636363636363,2291
2005,collaborative learning,transversal_skills,6,6,,44,0.13636363636363635,0.13636363636363635,2291
2006,collaborative learning,transversal_skills,13,13,,55,0.23636363636363636,0.23636363636363636,2291
2007,collaborative learning,transversal_skills,13,13,,83,0.1566265060240964,0.1566265060240964,2291
2008,collaborative learning,transversal_skills,8,8,,79,0.10126582278481013,0.10126582278481013,2291
2009,collaborative learning,transversal_skills,16,16,,129,0.12403100775193798,0.12403100775193798,2291
2010,collaborative learning,transversal_skills,12,12,,115,0.10434782608695652,0.10434782608695652,2291
2011,collaborative learning,transversal_skills,19,19,,159,0.11949685534591195,0.11949685534591195,2291
2012,collaborative learning,transversal_skills,25,25,,157,0.1592356687898089,0.1592356687898089,2291
2013,collaborative learning,transversal_skills,27,27,,198,0.13636363636363635,0.13636363636363635,2291
2014,collaborative learning,transversal_skills,33,33,,224,0.14732142857142858,0.14732142857142858,2291
2015,collaborative learning,transversal_skills,39,39,,285,0.1368421052631579,0.1368421052631579,2291
2016,collaborative learning,transversal_skills,48,48,,302,0.15894039735099338,0.15894039735099338,2291
2017,collaborative learning,transversal_skills,81,81,,467,0.1734475374732334,0.1734475374732334,2291
2018,collaborative learning,transversal_skills,90,90,,562,0.1601423487544484,0.1601423487544484,2291
2019,collaborative learning,transversal_skills,136,136,,723,0.18810511756569848,0.18810511756569848,2291
2020,collaborative learning,transversal_skills,172,172,,852,0.20187793427230047,0.20187793427230047,2291
2021,collaborative learning,transversal_skills,209,209,,982,0.21283095723014256,0.21283095723014256,2291
2022,collaborative learning,transversal_skills,246,246,,1070,0.22990654205607478,0.22990654205607478,2291
2023,collaborative learning,transversal_skills,286,286,,1188,0.24074074074074073,0.24074074074074073,2291
2024,collaborative learning,transversal_skills,366,366,,1377,0.2657952069716776,0.2657952069716776,2291
2025,collaborative learning,transversal_skills,380,380,,1365,0.2783882783882784,0.2783882783882784,2291
2026,collaborative learning,transversal_skills,18,18,,64,0.28125,0.28125,2291
1983,scaffolding,transversal_skills,1,1,,4,0.25,0.25,2126
1986,scaffolding,transversal_skills,1,1,,3,0.3333333333333333,0.3333333333333333,2126
1989,scaffolding,transversal_skills,1,1,,7,0.14285714285714285,0.14285714285714285,2126
1990,scaffolding,transversal_skills,2,2,,5,0.4,0.4,2126
1991,scaffolding,transversal_skills,2,2,,5,0.4,0.4,2126
1993,scaffolding,transversal_skills,2,2,,20,0.1,0.1,2126
1994,scaffolding,transversal_skills,3,3,,21,0.14285714285714285,0.14285714285714285,2126
1995,scaffolding,transversal_skills,1,1,,13,0.07692307692307693,0.07692307692307693,2126
1996,scaffolding,transversal_skills,2,2,,26,0.07692307692307693,0.07692307692307693,2126
1998,scaffolding,transversal_skills,1,1,,14,0.07142857142857142,0.07142857142857142,2126
2000,scaffolding,transversal_skills,2,2,,10,0.2,0.2,2126
2001,scaffolding,transversal_skills,3,3,,29,0.10344827586206896,0.10344827586206896,2126
2002,scaffolding,transversal_skills,2,2,,27,0.07407407407407407,0.07407407407407407,2126
2003,scaffolding,transversal_skills,2,2,,40,0.05,0.05,2126
2004,scaffolding,transversal_skills,4,4,,44,0.09090909090909091,0.09090909090909091,2126
2005,scaffolding,transversal_skills,2,2,,44,0.045454545454545456,0.045454545454545456,2126
2006,scaffolding,transversal_skills,3,3,,55,0.05454545454545454,0.05454545454545454,2126
2007,scaffolding,transversal_skills,8,8,,83,0.0963855421686747,0.0963855421686747,2126
2008,scaffolding,transversal_skills,9,9,,79,0.11392405063291139,0.11392405063291139,2126
2009,scaffolding,transversal_skills,11,11,,129,0.08527131782945736,0.08527131782945736,2126
2010,scaffolding,transversal_skills,4,4,,115,0.034782608695652174,0.034782608695652174,2126
2011,scaffolding,transversal_skills,13,13,,159,0.08176100628930817,0.08176100628930817,2126
2012,scaffolding,transversal_skills,20,20,,157,0.12738853503184713,0.12738853503184713,2126
2013,scaffolding,transversal_skills,18,18,,198,0.09090909090909091,0.09090909090909091,2126
2014,scaffolding,transversal_skills,42,42,,224,0.1875,0.1875,2126
2015,scaffolding,transversal_skills,43,43,,285,0.15087719298245614,0.15087719298245614,2126
2016,scaffolding,transversal_skills,55,55,,302,0.18211920529801323,0.18211920529801323,2126
2017,scaffolding,transversal_skills,94,94,,467,0.2012847965738758,0.2012847965738758,2126
2018,scaffolding,transversal_skills,116,116,,562,0.20640569395017794,0.20640569395017794,2126
2019,scaffolding,transversal_skills,134,134,,723,0.18533886583679116,0.18533886583679116,2126
2020,scaffolding,transversal_skills,162,162,,852,0.19014084507042253,0.19014084507042253,2126
2021,scaffolding,transversal_skills,232,232,,982,0.23625254582484725,0.23625254582484725,2126
2022,scaffolding,transversal_skills,245,245,,1070,0.22897196261682243,0.22897196261682243,2126
2023,scaffolding,transversal_skills,249,249,,1188,0.20959595959595959,0.20959595959595959,2126
2024,scaffolding,transversal_skills,271,271,,1377,0.19680464778503995,0.19680464778503995,2126
2025,scaffolding,transversal_skills,352,352,,1365,0.2578754578754579,0.2578754578754579,2126
2026,scaffolding,transversal_skills,14,14,,64,0.21875,0.21875,2126
1980,abstraction,ct_core_skills,1,1,0.86,1,1.0,1.0,2105
1986,abstraction,ct_core_skills,1,1,0.86,3,0.3333333333333333,0.3333333333333333,2105
1993,abstraction,ct_core_skills,1,1,0.86,20,0.05,0.05,2105
1995,abstraction,ct_core_skills,1,1,0.86,13,0.07692307692307693,0.07692307692307693,2105
1996,abstraction,ct_core_skills,2,2,0.86,26,0.07692307692307693,0.07692307692307693,2105
1999,abstraction,ct_core_skills,1,1,0.86,18,0.05555555555555555,0.05555555555555555,2105
2001,abstraction,ct_core_skills,2,2,0.86,29,0.06896551724137931,0.06896551724137931,2105
2002,abstraction,ct_core_skills,1,1,0.86,27,0.037037037037037035,0.037037037037037035,2105
2003,abstraction,ct_core_skills,2,2,0.86,40,0.05,0.05,2105
2004,abstraction,ct_core_skills,1,1,0.86,44,0.022727272727272728,0.022727272727272728,2105
2005,abstraction,ct_core_skills,2,2,0.86,44,0.045454545454545456,0.045454545454545456,2105
2006,abstraction,ct_core_skills,5,5,0.86,55,0.09090909090909091,0.09090909090909091,2105
2007,abstraction,ct_core_skills,5,5,0.86,83,0.060240963855421686,0.060240963855421686,2105
2008,abstraction,ct_core_skills,3,3,0.86,79,0.0379746835443038,0.0379746835443038,2105
2009,abstraction,ct_core_skills,10,10,0.86,129,0.07751937984496124,0.07751937984496124,2105
2010,abstraction,ct_core_skills,5,5,0.86,115,0.043478260869565216,0.043478260869565216,2105
2011,abstraction,ct_core_skills,12,12,0.86,159,0.07547169811320754,0.07547169811320754,2105
2012,abstraction,ct_core_skills,16,16,0.86,157,0.10191082802547771,0.10191082802547771,2105
2013,abstraction,ct_core_skills,14,14,0.86,198,0.0707070707070707,0.0707070707070707,2105
2014,abstraction,ct_core_skills,26,26,0.86,224,0.11607142857142858,0.11607142857142858,2105
2015,abstraction,ct_core_skills,37,37,0.86,285,0.12982456140350876,0.12982456140350876,2105
2016,abstraction,ct_core_skills,39,39,0.86,302,0.1291390728476821,0.1291390728476821,2105
2017,abstraction,ct_core_skills,79,79,0.86,467,0.16916488222698073,0.16916488222698073,2105
2018,abstraction,ct_core_skills,79,79,0.86,562,0.14056939501779359,0.14056939501779359,2105
2019,abstraction,ct_core_skills,154,154,0.86,723,0.21300138312586445,0.21300138312586445,2105
2020,abstraction,ct_core_skills,169,169,0.86,852,0.1983568075117371,0.1983568075117371,2105
2021,abstraction,ct_core_skills,188,188,0.86,982,0.19144602851323828,0.19144602851323828,2105
2022,abstraction,ct_core_skills,241,241,0.86,1070,0.2252336448598131,0.2252336448598131,2105
2023,abstraction,ct_core_skills,285,285,0.86,1188,0.2398989898989899,0.2398989898989899,2105
2024,abstraction,ct_core_skills,338,338,0.86,1377,0.24546114742193173,0.24546114742193173,2105
2025,abstraction,ct_core_skills,369,369,0.86,1365,0.2703296703296703,0.2703296703296703,2105
2026,abstraction,ct_core_skills,16,16,0.86,64,0.25,0.25,2105
1980,algorithmic thinking,ct_core_skills,1,1,0.9,1,1.0,1.0,1979
1992,algorithmic thinking,ct_core_skills,1,1,0.9,7,0.14285714285714285,0.14285714285714285,1979
1997,algorithmic thinking,ct_core_skills,1,1,0.9,36,0.027777777777777776,0.027777777777777776,1979
2001,algorithmic thinking,ct_core_skills,1,1,0.9,29,0.034482758620689655,0.034482758620689655,1979
2002,algorithmic thinking,ct_core_skills,5,5,0.9,27,0.18518518518518517,0.18518518518518517,1979
2004,algorithmic thinking,ct_core_skills,1,1,0.9,44,0.022727272727272728,0.022727272727272728,1979
2007,algorithmic thinking,ct_core_skills,2,2,0.9,83,0.024096385542168676,0.024096385542168676,1979
2008,algorithmic thinking,ct_core_skills,5,5,0.9,79,0.06329113924050633,0.06329113924050633,1979
2009,algorithmic thinking,ct_core_skills,6,6,0.9,129,0.046511627906976744,0.046511627906976744,1979
2010,algorithmic thinking,ct_core_skills,2,2,0.9,115,0.017391304347826087,0.017391304347826087,1979
2011,algorithmic thinking,ct_core_skills,7,7,0.9,159,0.0440251572327044,0.0440251572327044,1979
2012,algorithmic thinking,ct_core_skills,11,11,0.9,157,0.07006369426751592,0.07006369426751592,1979
2013,algorithmic thinking,ct_core_skills,16,16,0.9,198,0.08080808080808081,0.08080808080808081,1979
2014,algorithmic thinking,ct_core_skills,21,21,0.9000000000000001,224,0.09375,0.09375,1979
2015,algorithmic thinking,ct_core_skills,41,41,0.8999999999999999,285,0.14385964912280702,0.14385964912280702,1979
2016,algorithmic thinking,ct_core_skills,45,45,0.9,302,0.1490066225165563,0.1490066225165563,1979
2017,algorithmic thinking,ct_core_skills,81,81,0.9,467,0.1734475374732334,0.1734475374732334,1979
2018,algorithmic thinking,ct_core_skills,84,84,0.9000000000000001,562,0.1494661921708185,0.1494661921708185,1979
2019,algorithmic thinking,ct_core_skills,137,137,0.9,723,0.18948824343015214,0.18948824343015214,1979
