year,skill_group,n_papers,n_mentions,mean_skill_weight,n_papers_year,n_papers_with_skill_year,freq_norm_by_papers,share_of_skill_mentions
1970,transversal_skills,1,1,,1,1,1.0,1.0
1975,transversal_skills,1,2,,1,1,2.0,1.0
1980,ct_core_skills,1,2,0.88,1,1,2.0,0.6666666666666666
1980,transversal_skills,1,1,,1,1,1.0,0.3333333333333333
1982,transversal_skills,1,1,,1,1,1.0,1.0
1983,transversal_skills,2,3,,4,2,0.75,1.0
1986,ct_core_skills,1,2,0.87,3,1,0.6666666666666666,0.4
1986,transversal_skills,1,3,,3,1,1.0,0.6
1987,transversal_skills,2,2,,3,2,0.6666666666666666,1.0
1988,transversal_skills,3,3,,7,3,0.42857142857142855,1.0
1989,transversal_skills,2,3,,7,2,0.42857142857142855,1.0
1990,transversal_skills,3,4,,5,3,0.8,1.0
1991,transversal_skills,2,3,,5,2,0.6,1.0
1992,ct_core_skills,1,1,0.9,7,2,0.14285714285714285,0.5
1992,transversal_skills,1,1,,7,2,0.14285714285714285,0.5
1993,ct_core_skills,1,2,0.87,20,4,0.1,0.25
1993,transversal_skills,4,6,,20,4,0.3,0.75
1994,transversal_skills,11,12,,21,11,0.5714285714285714,1.0
1995,ct_core_skills,1,1,0.86,13,5,0.07692307692307693,0.14285714285714285
1995,transversal_skills,5,6,,13,5,0.46153846153846156,0.8571428571428571
1996,ct_core_skills,2,2,0.86,26,9,0.07692307692307693,0.18181818181818182
1996,transversal_skills,8,9,,26,9,0.34615384615384615,0.8181818181818182
1997,ct_core_skills,1,1,0.9,36,8,0.027777777777777776,0.1
1997,transversal_skills,8,9,,36,8,0.25,0.9
1998,transversal_skills,5,6,,14,5,0.42857142857142855,1.0
1999,ct_core_skills,1,2,0.87,18,4,0.1111111111111111,0.2857142857142857
1999,transversal_skills,4,5,,18,4,0.2777777777777778,0.7142857142857143
2000,transversal_skills,4,4,,10,4,0.4,1.0
2001,ct_core_skills,3,3,0.8733333333333334,29,11,0.10344827586206896,0.23076923076923078
2001,transversal_skills,9,10,,29,11,0.3448275862068966,0.7692307692307693
2002,ct_core_skills,5,6,0.8933333333333334,27,11,0.2222222222222222,0.4
2002,transversal_skills,7,9,,27,11,0.3333333333333333,0.6
2003,ct_core_skills,2,3,0.8666666666666667,40,8,0.075,0.25
2003,transversal_skills,7,9,,40,8,0.225,0.75
2004,ct_core_skills,2,3,0.88,44,19,0.06818181818181818,0.12
