ct_layer,doi,title,year,journal,document_type,openalex_is_oa,openalex_oa_status,dimensions_times_cited,openalex_cited_by_count,scopus_citations,wos_citations_core,altmetric_score,altmetric_posts_count,altmetric_accounts_count,altmetric_tweeters_count,altmetric_bluesky_count,mendeley_reader_count,mendeley_group_count,openalex_top_concepts,citations_academic,altmetric_score_filled,mendeley_readers_filled,is_oa,ct_signal
broad,10.1002/9780470294154,Modern antenna handbook,2007,,Book,False,closed,717.0,1334.0,872.0,,,,,,,529.0,17.0,Antenna (radio); Computer science; Telecommunications,717.0,0.0,529.0,False,context
broad,10.1002/9780470670606.wbecc0026,Alexandrian Theology,2012,,Book chapter,False,closed,0.0,0.0,0.0,,,,,,,0.0,0.0,Incarnation; Theology; Christian theology; Philosophy; Flesh,0.0,0.0,0.0,False,context
broad,10.1002/9781118031575,"Theorems, Corollaries, Lemmas, and Methods of Proof",2011,,Book,False,closed,11.0,2.0,6.0,,3.0,2.0,2.0,,,28.0,0.0,Calculus (dental); Proof theory; Index (typography); Algebra over a field; Mathematics,11.0,3.0,28.0,False,context
broad,10.1002/9781118551820,Service Science: The Foundations of Service Engineering and Management,2014,,Book,False,closed,28.0,31.0,38.0,,4.0,3.0,3.0,2.0,,89.0,12.0,History,28.0,4.0,89.0,False,exact|context
broad,10.1002/9781118577516,Interdisciplinary Mechatronics: Engineering Science and Research Development,2013,,Book,False,closed,14.0,18.0,10.0,,,,,,,17.0,1.0,Mechatronics; Engineering; Manufacturing engineering; Control engineering,14.0,0.0,17.0,False,context
broad,10.1002/9781118974414,Social systems engineering: The design of complexity,2017,,Book,False,closed,15.0,20.0,4.0,,10.0,7.0,6.0,5.0,,30.0,3.0,Social engineering (security); Computer science; Data science; Computer security,15.0,10.0,30.0,False,context
broad,10.1002/9781119159438,Computational Neuroendocrinology,2016,,Book,False,closed,2.0,2.0,2.0,,2.6,5.0,5.0,5.0,,14.0,0.0,Neuroendocrinology; Computer science; Biology; Endocrinology; Hormone,2.0,2.6,14.0,False,context
broad,10.1002/9781394352821.ch11,Inclusive Education with AI: Supporting Special Needs and Overcoming Language Barriers,2026,,Book chapter,False,closed,0.0,0.0,0.0,,,,,,,2.0,0.0,,0.0,0.0,2.0,False,exact|context
broad,10.1002/acp.3809,The impact of inducing troubleshooting strategies via visual aids on performance in a computerized digital network task,2021,Applied Cognitive Psychology,Article,True,hybrid,4.0,3.0,3.0,2.0,5.0,1.0,1.0,,,43.0,1.0,Troubleshooting; Task (project management); Cognition; Covert; Process (computing),4.0,5.0,43.0,True,exact
broad,10.1002/acp.4029,Insights into computational thinking from think-aloud interviews: A systematic review,2023,Applied Cognitive Psychology,Article,False,closed,14.0,14.0,10.0,6.0,1.5,2.0,2.0,2.0,,48.0,0.0,Think aloud protocol; Psychology; Protocol analysis; Cognition; Empirical research,14.0,1.5,48.0,False,exact|context
broad,10.1002/bmb.21414,Developing critical thinking in STEM education through inquiry-based writing in the laboratory classroom,2021,Biochemistry and Molecular Biology Education,Article,False,closed,19.0,20.0,17.0,,1.0,1.0,1.0,1.0,,171.0,7.0,CLARITY; Mathematics education; Student engagement; Critical thinking; Psychology,19.0,1.0,171.0,False,context
broad,10.1002/bmb.21512,Molecular dynamics simulations and analysis for bioinformatics undergraduate students,2021,Biochemistry and Molecular Biology Education,Article,False,closed,44.0,42.0,40.0,,1.0,1.0,1.0,1.0,,105.0,4.0,Python (programming language); Molecular dynamics; Computer science; Computational science; Programming language,44.0,1.0,105.0,False,context
broad,10.1002/bmb.21692,Student responses to creative coding in biomedical science education,2023,Biochemistry and Molecular Biology Education,Article,True,hybrid,10.0,9.0,11.0,5.0,6.5,6.0,5.0,4.0,,71.0,6.0,Curriculum; Capstone; Coding (social sciences); Workforce; Computer science,10.0,6.5,71.0,True,exact|context
broad,10.1002/brb3.70167,"Unveiling Risk Profiles: A Latent Profile Analysis of 21st-Century Skills, Resistance to Change, and Cognitive Flexibility",2025,Brain and Behavior,Article,True,gold,3.0,3.0,0.0,,1.0,1.0,1.0,,1.0,22.0,0.0,Cognitive flexibility; Creativity; Flexibility (engineering); Cooperativity; Psychology,3.0,1.0,22.0,True,exact|context
broad,10.1002/cae.20550,"Lagrange, Hamilton, Schrödinger, and computers",2014,Computer Applications in Engineering Education,Article,False,closed,2.0,2.0,2.0,,,,,,,6.0,0.0,Subtitle; Computer science; Mathematics education; Applied mathematics; Computational science,2.0,0.0,6.0,False,concepts
broad,10.1002/cae.21679,Knowledge transfer of software tool development for functional requirements analysis,2016,Computer Applications in Engineering Education,Article,False,closed,5.0,9.0,6.0,,,,,,,67.0,6.0,Computer science; Software engineering; Software development; Documentation; Software,5.0,0.0,67.0,False,context
broad,10.1002/cae.21779,Modeling and simulation practices for a computational thinking-enabled engineering workforce,2017,Computer Applications in Engineering Education,Article,False,closed,70.0,91.0,81.0,58.0,1.25,3.0,3.0,2.0,,178.0,9.0,Computational thinking; Computer science; Intersection (aeronautics); Workforce; Discipline,70.0,1.25,178.0,False,exact||concepts
broad,10.1002/cae.21926,A novel CALM algorithm in student profiling,2018,Computer Applications in Engineering Education,Article,False,closed,0.0,0.0,0.0,,,,,,,10.0,2.0,Profiling (computer programming); Memorization; Computer science; Perception; Artificial intelligence,0.0,0.0,10.0,False,context
broad,10.1002/cae.21980,Modeling and simulation practices in engineering education,2018,COMPUTER APPLICATIONS IN ENGINEERING EDUCATION,Article,True,bronze,45.0,58.0,,34.0,,,,,,79.0,6.0,Computer science; Scholarship; Engineering education; Field (mathematics); Modeling and simulation,45.0,0.0,79.0,True,exact|context|concepts
