ct_label,year,n_papers,n_unique_doi,mean_citations,median_citations,total_citations,mean_altmetric,total_altmetric,mean_mendeley_readers,total_mendeley_readers,share_oa,mean_ct_score
broad,1975,1,1,20.0,20.0,20.0,0.0,0.0,32.0,32.0,0.0,1.0
broad,1982,1,1,1.0,1.0,1.0,0.0,0.0,9.0,9.0,0.0,1.0
broad,1983,1,1,15.0,15.0,15.0,0.0,0.0,9.0,9.0,0.0,1.0
broad,1984,1,1,3.0,3.0,3.0,0.5,0.5,5.0,5.0,0.0,1.0
broad,1986,2,2,49.5,49.5,99.0,0.0,0.0,63.5,127.0,0.5,1.0
broad,1987,2,2,263.5,263.5,527.0,6.25,12.5,78.0,156.0,0.5,1.0
broad,1990,1,1,1.0,1.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0
broad,1991,1,1,1117.0,1117.0,1117.0,31.45,31.45,640.0,640.0,0.0,1.0
broad,1993,2,2,61.5,61.5,123.0,0.0,0.0,41.0,82.0,0.0,1.0
broad,1994,4,4,83.25,49.0,333.0,4.5,18.0,69.25,277.0,0.0,1.0
broad,1995,4,4,16.25,0.0,65.0,0.75,3.0,16.25,65.0,0.75,1.0
broad,1996,3,3,193.66666666666666,149.0,581.0,11.71666666666667,35.15000000000001,182.33333333333334,547.0,0.0,1.0
broad,1997,3,3,14.333333333333334,16.0,43.0,0.0,0.0,21.333333333333332,64.0,0.0,1.0
broad,1998,1,1,90.0,90.0,90.0,0.0,0.0,157.0,157.0,0.0,1.0
broad,2000,1,1,2.0,2.0,2.0,0.0,0.0,7.0,7.0,0.0,1.0
broad,2001,4,4,17.25,12.5,69.0,0.0,0.0,18.75,75.0,0.0,1.0
broad,2002,5,5,34.0,2.0,170.0,0.0,0.0,64.8,324.0,0.0,1.0
broad,2003,6,6,14.166666666666666,1.5,85.0,0.25,1.5,16.166666666666668,97.0,0.0,1.0
broad,2004,6,6,40.0,7.5,240.0,1.8333333333333333,11.0,104.66666666666667,628.0,0.3333333333333333,1.0
broad,2005,4,4,20.25,18.0,81.0,0.75,3.0,39.75,159.0,0.0,1.0
broad,2006,9,9,684.6666666666666,15.0,6162.0,22.91111111111111,206.2,439.44444444444446,3955.0,0.4444444444444444,1.0
broad,2007,18,18,35.44444444444444,20.0,638.0,1.1944444444444444,21.5,50.833333333333336,915.0,0.0,1.0
broad,2008,15,15,16.133333333333333,2.0,242.0,0.03333333333333333,0.5,49.13333333333333,737.0,0.13333333333333333,1.0
broad,2009,15,15,27.133333333333333,4.0,407.0,3.7800000000000002,56.7,108.13333333333334,1622.0,0.13333333333333333,1.0
broad,2010,13,13,20.46153846153846,5.0,266.0,0.5769230769230769,7.5,45.76923076923077,595.0,0.07692307692307693,1.0
broad,2011,17,17,29.058823529411764,11.0,494.0,5.352941176470589,91.00000000000001,100.70588235294117,1712.0,0.11764705882352941,1.0
broad,2012,26,26,33.53846153846154,3.5,872.0,0.6038461538461538,15.7,76.3076923076923,1984.0,0.11538461538461539,1.0
broad,2013,18,18,14.333333333333334,5.0,258.0,1.0472222222222223,18.85,43.611111111111114,785.0,0.05555555555555555,1.0
broad,2014,30,30,21.366666666666667,9.0,641.0,1.38,41.4,62.03333333333333,1861.0,0.16666666666666666,1.0
broad,2015,39,39,12.794871794871796,3.0,499.0,0.9256410256410255,36.099999999999994,36.15384615384615,1410.0,0.1282051282051282,1.0
broad,2016,35,35,21.37142857142857,6.0,748.0,2.04,71.4,51.371428571428574,1798.0,0.22857142857142856,1.0
broad,2017,50,50,26.2,4.5,1310.0,16.115000000000062,805.7500000000032,83.44,4172.0,0.24,1.0
broad,2018,68,68,22.735294117647058,6.0,1546.0,6.815441176470595,463.4500000000005,78.29411764705883,5324.0,0.23529411764705882,1.0
